,title,authors,doi,abstract,citations,pubdate,pubtype,proceedings,ccs
0,Comparison of some available packages for use in research data management,"['Edward A. Greenberg', 'Wm. Max Ivey', 'Bruce R. Lewis']",https://doi.org/10.1145/800275.810922,"Data management features of SIR, SAS, and SPSS were applied to a sample hierarchical data base. For each package, the areas investigated included the logical definition of the data base, data entry, data retrieval, data integrity, security, reporting, and updating.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Information systems', 'Data management systems', 'Information retrieval', 'Information storage systems', 'Security and privacy', 'Database and storage security', 'Theory of computation', 'Theory and algorithms for application domains', 'Database theory', 'Theory of database privacy and security']"
1,Organizing the annual housing surveys as a very large relationally oriented data base,"['Andrew A. Beveridge', 'Jennifer A. Norris']",https://doi.org/10.1145/800275.810923,"Since 1973, the Department of Housing and Urban Development, through the Bureau of the Census, has conducted a yearly nationwide survey of housing. Data on a wide range of topics are collected during face to face interviews with over 190,000 individuals. Plainly, the Annual Housing Surveys represent one of the largest longitudinal general social and economic data collection efforts ever undertaken.Due to changing policy and substantive interests, as well as government requirements, the interview schedules have changed significantly from year to year. Since the great potential for data from the Annual Housing Survey is in longitudinal analysis, it is necessary to have common variable definitions and consistent formats.To accomplish this, we have developed and implemented a system which includes: 1) documentation of the variables, questionnaires, and files across all years and surveys; 2) files created using one homogeneously defined data structure; 3) a simple system to produce custom user files; 4) a method to easily produce routine custom analyses and tabulations using the data.We have applied the relational model to create a small data base which documents the interview schedules, files and variable definitions. From this we produce up to date documentation and computer programs which are used to update the Annual Housing Survey data base, to handle custom file requests, and to perform analyses.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Law, social and behavioral sciences', 'Information systems', 'Data management systems', 'Database design and models', 'Relational database model', 'Query languages', 'Relational database query languages']"
2,The 1940 and 1950 Public Use Sample Project: Data quality issues,"['Richard M. Cohn', 'Howard R. Prouse']",https://doi.org/10.1145/800275.810924,The 1940 and 1950 Public Use Sample Project is the creation of 1/100 household samples from the 1940 and 1950 Censuses of Population. The data source for the samples is the microfilmed original Population Schedules which contain the census enumerator's recording of household information. The procedure to sample the universe of household listings and transcribe the sample households' data is described in the paper. A pretest of the 1940 Public Use Sample included a comparison of three methods of sampling and transcription. The results of this comparison are reported. The applicability of these procedures to similar projects is discussed.,0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Arts and humanities', 'Law, social and behavioral sciences', 'Information systems', 'Data management systems', 'Social and professional topics', 'Professional topics', 'Management of computing and information systems', 'Project and people management']"
3,"The automation of data processing, analysis, and reporting in a large survey time-series database.","['Christopher J. Gordon', 'Michael B. Zartman']",https://doi.org/10.1145/800275.810925,"The May 1981 Survey will mark the 152nd Survey of Consumer Attitudes. Initiated in 1946, the purpose of the surveys is to measure changes in consumer attitudes and expectations, to understand why these changes occur, and to evaluate how they relate to consumer decisions to save, to borrow, or to make discretionary purchases under changing conditions.Each survey contains approximately 40 core questions, each of which probes a different aspect of consumer confidence. Open-ended questions are asked concerning evaluations of expectations about personal finances, employment, price changes, and the national business situation. Additional questions probe for the respondents appraisal of present market conditions for houses, and other durables. Demographic data obtained in these surveys include income, age, sex, race, education, and occupation, among others. While many questions designed to measure change in attitudes and behavior are repeated in identical form in each survey, special questionnaire supplements are added to most surveys by outside sponsors on a time share basis. Supplements to the ongoing surveys give sponsors prompt turnaround to survey materials while taking advantage of shared field expenses. When the research task is first undertaken, a maximum amount of time and effort can be spent in developing these survey materials, not in establishing and setting in motion standard sampling and interviewing procedures, questionnaire and code development for standard demographic items, and so forth.Although each survey task is unique in its time requirements, shared time participation on the ongoing Surveys of Consumer Attitudes is an effective and flexible approach for meeting many research needs. Current procedures include production of a fully documented computer data file available for analytic use within 48 hours of the close of interviewing. Within one week of the close of the survey, a report containing tabulations and charts of questions asked is sent to the sponsors.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Enterprise computing', 'Law, social and behavioral sciences', 'Information systems', 'Data management systems']"
4,A new process for documenting and checking archival data,"['Erik W. Austin', 'Sylvia J. Barge', 'Susan M. Horvath', 'Santa M. Traugott']",https://doi.org/10.1145/800275.810926,"The Inter-university Consortium for Political and Social Research (ICPSR) is a data archive and repository for social science data. A major function of the ICPSR is to disseminate the data holdings in a reasonably standard format. For holdings that will be extensively used, additional effort is made to prepare comprehensive, machine-readable documentation, to cross-check the documentation against the data for accuracy and consistency, and to correct or document any inconsistencies discovered.In the past, ""cleaning"" and documenting the data involved using a number of different computer programs. A great deal of human time was expended on procedural matters: which programs to use, when to use them, and how to coordinate the various stages of the cleaning process. As staff costs and the number of new acquisitions skyrocketed, and computers increased in power and decreased in cost, it became imperative to automate as much as possible the procedure for preparing data for distribution. The GIDO software was developed to meet this need.GIDO is an interactive multi-function program package that guides staff members through the procedure for documenting and cleaning social science data. A cohesive history of the processing operations performed on the data is maintained automatically in machine-readable form. Video terminals are used to display ""forms"" which the staff fill out with the textual and technical documentation for the data. GIDO immediately verifies the contents of each form and provides an opportunity to make corrections. The forms allow the input of information without requiring knowledge of specialized syntax and conventions. After all documentary materials have been entered, GIDO checks the data for consistency with the original documentation, corrects or flags discrepancies encountered, reformats the data using uniform conventions, and produces machine-readable documentation in a form ready for dissemination.Use of GIDO enables the ICPSR archive to perform its data processing functions more efficiently and at lower cost, thus permitting the organization to meet ever-increasing demands on its resources.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Law, social and behavioral sciences', 'Sociology', 'Information systems', 'Data management systems', 'Information integration', 'Data warehouses', 'Information systems applications', 'Decision support systems', 'Data warehouses', 'Software and its engineering', 'Software creation and management', 'Software post-development issues', 'Documentation']"
5,An automated system for responding to data service requests,"['Tina G. Bixby', 'Janet K. Vavra']",https://doi.org/10.1145/800275.810927,"During the 1970s, there was a steady decline in the cost and size of computing hardware with a corresponding phenomenal growth in computing capability. Computers now help store, manage, duplicate and interpret vast quantities of data with an ease and relative economy undreamed of in the past. These developments have, over the years, fostered the growth of new research methods in a variety of fields, including the social sciences. Large and more complex bodies of quantitative data have been collected as social scientists seek ways to understand human behavior with empirical research methods and scientific sampling techniques. In addition to collecting their own data, researchers have also utilized vast amounts of machine-readable data that have been prepared by other researchers, governmental agencies, and private organizations.The changes in the computing industry combined with the increased demand for services have made it feasible for organizations to consider automating as many tasks as possible. FAST (Facility to Aid Servicing Transactions) is one system that was created in response to these conditions. This paper describes FAST and its impact on the organization which developed it.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Law, social and behavioral sciences', 'Information systems', 'Data management systems', 'Software and its engineering', 'Software notations and tools', 'Compilers']"
6,Online searches of social science data sets: The RIQS system and ICPSR data,"['Ann Janda', 'Kenneth Janda']",https://doi.org/10.1145/800275.810928,"Every solution seems to generate a new problem. The problem of accurately assessing public opinion led to the invention of the sample survey. The subsequent problem of analyzing survey responses brought widespread use of machine-readable data. The problem of preserving machine-readable data for secondary analysis stimulated the creation of data depositories or ""archives."" Growth over time in the holdings of these social science data archives, however, has aroused needs for improved retrieval of data. This paper explains one method of dealing with such needs. It involves an interactive search of the holdings of the most diversified social science data archive, the Inter-University Consortium for Political and Social Research, using a general-purpose information retrieval system, RIQS, written for CDC computers.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Law, social and behavioral sciences', 'Information systems', 'Information retrieval', 'Document representation', 'Information retrieval query processing']"
7,Developing an aggregated survey/macro-economic database for statistical and graphical social science applications,"['Michael B. Zartman', 'Christopher J. Gordon']",https://doi.org/10.1145/800275.810929,"The Survey Research Center at The University of Michigan has routinely conducted surveys of consumer attitudes since 1946. The May 1981 survey is the 152nd in this series which provides regular assessments of consumer attitudes and expectations. The surveys are designed to explore why changes in consumer attitudes and expectations occur, and how these changes influence consumer spending and saving decisions. A major research objective of the project is to use this collected data to evaluate economic trends and prospects.Each survey contains ""standard"" questions asked at regular intervals, many of which have been included from the project's inception. The aggregated results of these surveys provide a wealth of time-series data with the potential to be an important factor in forecasting consumer behavior. The ""standard"" questions themselves can be disseminated into approximately 190 separate data series (including index transformations). When ""nonstandard"" (or non-core) questions are included, this total jumps considerably. With such a large number of data variables, many different areas of analysis are available to be researched. When the many macro-economic data series (e.g., Federal Reserve, Census, or Retail Sales data) are added to this compilation, the data management problems increase. The research results which could be achieved, then, are directly related to the development of a flexible method of data storage and retrieval.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Law, social and behavioral sciences', 'Computing methodologies', 'Machine learning', 'Machine learning approaches', 'Factorization methods', 'Canonical correlation analysis', 'Information systems', 'Data management systems', 'Information retrieval', 'Mathematics of computing', 'Probability and statistics', 'Statistical paradigms', 'Regression analysis']"
8,On-line manipulation of small area demographic data: AmericanProfilesm,['Garry S. Meyer'],https://doi.org/10.1145/800275.810930,"A new approach to the way in which users interact with the computer in an on-line environment is presented. The method is designed specifically to provide both a friendly and highly productive means of communicating user requirements. Unlike systems which are targeted toward either novice computer users or experienced programmers, the approach we take is well suited for all levels along this continuum. AmericanProfilesm, a system which provides access to demographic and economic data for both standard geo-political units of analysis (states, counties, SMSA's, Zip codes, etc.) and unique small areas (polygons, circles, etc.), is discussed as an actual case point to illustrate our approach.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,"['Applied computing', 'Arts and humanities', 'Law, social and behavioral sciences', 'Economics', 'Information systems', 'Information retrieval', 'Theory of computation', 'Design and analysis of algorithms', 'Online algorithms', 'Online learning algorithms', 'Models of computation', 'Interactive computation', 'Theory and algorithms for application domains', 'Machine learning theory', 'Online learning theory']"
9,A TEXT-RETRIEVAL SYSTEM USED IN HUMANISTIC ARCHIVE APPLICATIONS (abstract only),"['Knut Hofland', 'Sigbjorn Arhus']",https://doi.org/10.1145/800275.1016160,"NOVA*STATUS is a text-retrieval system which is available at all
Norwegian universities and several government institutions, running
on computers from different manufacturers.NOVA*STATUS is a full-text retrieval system originally developed
by AERE, Harwell, England, and redeveloped at the Norwegian
Computing Centre for the Humanities and other Norwegian
institutions. The data is divided into documents and each word (or
a truncated part of it) in each document is potentially a key word.
The format of the document is free. By use of prefixes it is
possible to divide each document into specific fields of
information.A request to the system can consist of a Boolean expression of
words and prefixes and relational expressions between prefixed
words. The system allows for macros which can be permanently stored
which makes, for example, synonym lists possible. The system also
contains procedures for off-line sorting and printing of catalogues
and for the coding of data for statistical analysis by SPSS.At the Norwegian Computing Centre for the Humanities,
NOVA*STATUS has been, and is still being used in a variety of
humanistic archive applications. Several of these have a common
data format which consists of 20-30 defined fields of fixed
information and one or more fields of free-text description of
e.g., photographs, paintings, archaeological and cultural
artifacts, old buildings and documents. The second part of the
paper will describe the actual use of the system in these various
applications.",0,May 1981  ,Article ,CHI '81: Proceedings of the Joint Conference on Easier and More Productive Use of Computer Systems. (Part - I): Information Processing in the Social Sciences and Humanities - Volume 1981,[]
